time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
299008,394,758,584,0.00025,-0.7379729896783829,3.682499885559082,-0.05539245158433914,0.13525390625,0.004776769710588269,0.03373538,0.2,0.9816677570343018,128.28,2332,-0.014853484753984958,,
299520,394,759,585,0.00025,-0.767688998952508,3.685800075531006,-0.023626485839486122,0.13134765625,0.0028860206875833683,0.019372722,0.2,0.9886549711227417,127.82,2336,-0.011658654198981822,,
300000,,,,0.00025,-0.8071262054145336,,-0.04519673064351082,0.16943359375,0.0035513378570612986,0.031756524,0.2,0.9864974021911621,,2340,-0.021140954864677042,3.690000057220459,114.0
300032,393,762,586,,,3.6872003078460693,,,,,,,127.22,,,,
300544,393,763,587,0.00025,-0.7914073560386896,3.686300277709961,-0.03414958715438843,0.18017578125,0.02728615984597127,0.020080991,0.2,0.8971372842788696,127.5,2344,-0.019390754110645503,,
301056,393,764,588,0.00025,-0.7915336526930332,3.6849002838134766,-0.05928882583975792,0.1884765625,0.008656536825583316,0.04119099,0.2,0.9599270820617676,127.56,2348,-0.02240258950041607,,
301568,393,765,589,0.00025,-0.7756256964057684,3.6856000423431396,-0.03375502675771713,0.1611328125,0.0031631004203518387,0.042767763,0.2,0.9894428849220276,127.8,2352,-0.018318959599127993,,
302080,393,767,590,0.00025,-0.7860860787332058,3.6852002143859863,-0.036122627556324005,0.17626953125,0.0035479895886965096,0.040980626,0.2,0.9876188635826111,127.84,2356,-0.016675170743837953,,
302592,393,768,591,0.00025,-0.7802031673491001,3.6852002143859863,-0.048097822815179825,0.1435546875,0.005492353346198797,0.034014173,0.2,0.9698725938796997,127.8,2360,-0.018496414995752275,,
303104,393,769,592,0.00025,-0.7990435604006052,3.684999942779541,-0.026233047246932983,0.14990234375,0.002245017803943483,0.024353486,0.2,0.9943093061447144,127.88,2364,-0.015052334871143103,,
303616,393,770,593,0.00025,-0.7938815765082836,3.691800117492676,-0.07259058952331543,0.205078125,0.0033071758116420824,0.037022926,0.2,0.9869406223297119,125.7,2368,-0.02130115742329508,,
304128,393,772,594,0.00025,-0.7621233630925417,3.692800283432007,-0.03245225548744202,0.13720703125,0.0023064219658408547,0.01897794,0.2,0.9929403066635132,125.46,2372,-0.011896530311787501,,
304640,393,773,595,0.00025,-0.7989419363439083,3.69350004196167,-0.024012651294469833,0.15869140625,0.0019353352963662473,0.021879263,0.2,0.9942744374275208,124.66,2376,-0.01950696765561588,,
305152,393,774,596,0.00025,-0.7729751523584127,3.6937003135681152,-0.04360486939549446,0.140625,0.00134458576576435,0.019572249,0.2,0.9967830777168274,124.66,2380,-0.020074080617632717,,
305664,393,776,597,0.00025,-0.762053644284606,3.6936001777648926,-0.05836910754442215,0.15966796875,0.003287543837359408,0.037174884,0.2,0.988639235496521,124.16,2384,-0.02401034568902105,,
306176,393,777,598,0.00025,-0.7580368332564831,3.6969003677368164,-0.05722524970769882,0.19775390625,0.0013065173352515558,0.051838886,0.2,0.9974567294120789,123.7,2388,-0.022450201504398137,,
306688,393,778,599,0.00025,-0.7622019667178392,3.696500301361084,-0.041390310972929,0.12939453125,0.001627708930755034,0.023909714,0.2,0.9937784671783447,123.58,2392,-0.018690466124098748,,
307200,393,779,600,0.00025,-0.7457318250089884,3.6944003105163574,-0.04654815047979355,0.17041015625,0.0010778811756608775,0.029375564,0.2,0.9977172613143921,123.84,2396,-0.016575925750657916,,
307712,394,780,601,0.00025,-0.910559892654419,3.6420998573303223,-0.07603853940963745,0.27587890625,0.028626145984162576,0.03988001,0.2,0.9099854230880737,126.7,2400,-0.009308546257670969,,
308224,394,782,602,0.00025,-0.9207106418907642,3.592700242996216,0.03750035539269447,0.26513671875,0.1482139085419476,0.05369755,0.2,0.7065671682357788,129.58,2404,-0.01350637839641422,,
