time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,eval/mean_reward,eval/mean_ep_length
480,877,823,421376,114.72,0.004307099970901618,0.00025,-0.018860044016037136,0.1748046875,3.6507997512817383,0.9705103635787964,3288,-0.851478973403573,0.2,0.04087251,-0.02850126475095749,,
480,878,824,421888,115.8,0.01199089124565944,0.00025,-0.018181142979301512,0.2275390625,3.653900146484375,0.8624339699745178,3292,-0.9133936744183302,0.2,0.037752382,-0.022357096895575523,,
480,879,825,422400,117.18,0.00927197837154381,0.00025,-0.012964014982571825,0.1884765625,3.6521999835968018,0.8917012214660645,3296,-0.8748012185096741,0.2,0.030175108,-0.07064832001924515,,
480,880,826,422912,117.54,0.014425672561628744,0.00025,-0.014612288563512266,0.205078125,3.6503000259399414,0.9044975638389587,3300,-0.8516135755926371,0.2,0.025645383,-0.03634607791900635,,
480,881,827,423424,117.24,0.008263440380687825,0.00025,-0.020778002159204334,0.1953125,3.650599956512451,0.9397286772727966,3304,-0.8826613668352365,0.2,0.05031732,-0.04979967325925827,,
480,883,828,423936,117.36,0.006782582997402642,0.00025,-0.02403147390577942,0.17529296875,3.650899887084961,0.9646073579788208,3308,-0.8563692308962345,0.2,0.041893665,-0.05477635934948921,,
480,884,829,424448,117.82,0.005663556512445211,0.00025,-0.0189253066200763,0.1650390625,3.6511001586914062,0.9718478918075562,3312,-0.8638771455734968,0.2,0.03768888,-0.04620640352368355,,
480,885,830,424960,118.48,0.006017698578943964,0.00025,-0.013824003573972732,0.1923828125,3.6542000770568848,0.975123405456543,3316,-0.8341450355947018,0.2,0.028065052,-0.07272500544786453,,
480,886,831,425472,118.46,0.006284844173933379,0.00025,-0.025032841542270035,0.21630859375,3.654899835586548,0.9729783535003662,3320,-0.8224266767501831,0.2,0.04113397,-0.06711740791797638,,
480,887,832,425984,118.72,0.0033582448813831434,0.00025,-0.012620362831512466,0.1328125,3.654900312423706,0.986733615398407,3324,-0.7656089141964912,0.2,0.023222147,-0.02783944457769394,,
480,888,833,426496,118.42,0.003882557895849459,0.00025,-0.017714534129481763,0.16552734375,3.651099920272827,0.9818524718284607,3328,-0.7286349236965179,0.2,0.03863225,-0.03359989449381828,,
480,889,834,427008,118.54,0.0022882255598233314,0.00025,-0.010717145021772012,0.1298828125,3.653200149536133,0.9923949837684631,3332,-0.7450772505253553,0.2,0.01720977,-0.02728280797600746,,
480,890,835,427520,118.56,0.002026614994974807,0.00025,-0.013593673764262348,0.1728515625,3.6544995307922363,0.9925788640975952,3336,-0.716448750346899,0.2,0.022544878,-0.0346037819981575,,
480,891,836,428032,118.74,0.001927159368278808,0.00025,-0.011521676002303138,0.1259765625,3.6528000831604004,0.9935108423233032,3340,-0.6892215497791767,0.2,0.019673992,-0.03306986019015312,,
480,892,837,428544,118.72,0.003822256257990375,0.00025,-0.018945753632579,0.17236328125,3.654400110244751,0.9874197244644165,3344,-0.7477667573839426,0.2,0.034332372,-0.0071822647005319595,,
480,893,838,429056,118.8,0.0030145823293423746,0.00025,-0.01659095677314326,0.1650390625,3.6547000408172607,0.9890801906585693,3348,-0.7408677898347378,0.2,0.029719045,-0.033852603286504745,,
480,894,839,429568,118.98,0.002293387777172029,0.00025,-0.009131747297942638,0.1396484375,3.6548001766204834,0.9902565479278564,3352,-0.7594610638916492,0.2,0.018758178,-0.047280728816986084,,
480,895,840,430080,119.18,0.0032573721473454498,0.00025,-0.0113635660673026,0.14599609375,3.6561999320983887,0.9840337038040161,3356,-0.7833301238715649,0.2,0.023889795,-0.02747509628534317,,
480,896,841,430592,119.16,0.002592526714579435,0.00025,-0.026766951952595264,0.169921875,3.6549999713897705,0.986420214176178,3360,-0.8076891172677279,0.2,0.024604712,-0.033632125705480576,,
480,897,842,431104,119.56,0.004225916422001319,0.00025,-0.022711535915732384,0.189453125,3.655600070953369,0.9813750386238098,3364,-0.8049682043492794,0.2,0.03772357,-0.041087426245212555,,
480,898,843,431616,119.84,0.00543067033868283,0.00025,-0.017632930335821584,0.18017578125,3.654899835586548,0.9759339690208435,3368,-0.8065324481576681,0.2,0.03992809,-0.022579116746783257,,
480,899,844,432128,120.08,0.002831006670021452,0.00025,-0.015005456749349833,0.18408203125,3.6572999954223633,0.9856876730918884,3372,-0.8222020789980888,0.2,0.041517057,-0.024167748168110847,,
480,900,845,432640,120.26,0.002697837942832848,0.00025,-0.021484271972440183,0.21337890625,3.6572999954223633,0.9884883165359497,3376,-0.8200833052396774,0.2,0.031566683,-0.07611545920372009,,
480,901,846,433152,120.4,0.004822404196602292,0.00025,-0.026188131945673376,0.23193359375,3.6633002758026123,0.9776239395141602,3380,-0.819164402782917,0.2,0.040613838,-0.03663228452205658,,
480,902,847,433664,119.06,0.007025682847597636,0.00025,-0.018715978018008173,0.220703125,3.6681995391845703,0.9563401937484741,3384,-0.8311733026057482,0.2,0.056652047,-0.038331288844347,,
480,903,848,434176,118.18,0.002546454325056402,0.00025,-0.011118478141725063,0.17529296875,3.6687002182006836,0.9906459450721741,3388,-0.8002449795603752,0.2,0.03326267,-0.05497022345662117,,
480,904,849,434688,117.32,0.01127784012351185,0.00025,-0.02371728461002931,0.251953125,3.6701998710632324,0.9508582949638367,3392,-0.8490621987730265,0.2,0.040359236,-0.045203711837530136,,
480,905,850,435200,117.64,0.005394568433985114,0.00025,-0.01842501957435161,0.20947265625,3.6710000038146973,0.9739347696304321,3396,-0.8264916371554136,0.2,0.03854235,-0.0597514770925045,,
480,906,851,435712,117.18,0.008343350069480948,0.00025,-0.017882525775348768,0.1875,3.666099786758423,0.9243013262748718,3400,-0.8544969782233238,0.2,0.032232057,-0.028787799179553986,,
480,907,852,436224,117.14,0.004173986795649398,0.00025,-0.01804600501782261,0.1875,3.666100263595581,0.9755040407180786,3404,-0.8291595913469791,0.2,0.031940937,-0.015719152987003326,,
480,908,853,436736,117.56,0.008939721636124887,0.00025,-0.020479290804360062,0.2431640625,3.668100357055664,0.9435639381408691,3408,-0.8261286281049252,0.2,0.051292017,-0.06001175940036774,,
480,909,854,437248,117.36,0.006580474102520384,0.00025,-0.027930448472034186,0.25439453125,3.667799949645996,0.9538043141365051,3412,-0.7669626008719206,0.2,0.09713473,-0.020071817561984062,,
480,910,855,437760,117.1,0.003992373127402971,0.00025,-0.00817415415076539,0.2158203125,3.6695001125335693,0.9858927130699158,3416,-0.7207569982856512,0.2,0.039083317,-0.031040813773870468,,
480,911,856,438272,117.12,0.003325386955111753,0.00025,-0.017001524101942778,0.16064453125,3.6684000492095947,0.9854006767272949,3420,-0.6952058430761099,0.2,0.06451192,-0.045848503708839417,,
480,912,857,438784,118.06,0.002338650116143981,0.00025,-0.01979873387608677,0.185546875,3.66510009765625,0.9898839592933655,3424,-0.7604227904230356,0.2,0.04297683,-0.02634470723569393,,
