time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1136,369,5.874200344085693,820,419840,130.66,3276,-0.018147319788113236,0.967042088508606,0.1845703125,-0.8383449707180262,0.2,0.032481994,-0.014589750207960606,0.021498699235962704,0.00025,,
,,,,420000,,3280,-0.028559267811942846,0.9208600521087646,0.267578125,-0.8777001667767763,0.2,0.056261793,-0.05368240177631378,0.04119945806451142,0.00025,5.909999370574951,110.0
1139,369,5.852999210357666,821,420352,129.4,,,,,,,,,,,,
1140,369,5.789999485015869,822,420864,128.2,3284,-0.019504164985846728,0.8621487617492676,0.24951171875,-0.8837608769536018,0.2,0.055972807,0.10498425364494324,0.03861534275347367,0.00025,,
1141,369,5.769899368286133,823,421376,128.46,3288,-0.018653345701750368,0.8591060638427734,0.24658203125,-0.9494331311434507,0.2,0.04197122,-0.012703170999884605,0.028482613735832274,0.00025,,
1143,369,5.7128005027771,824,421888,129.72,3292,-0.015020905819255859,0.9373211860656738,0.259765625,-0.9553578197956085,0.2,0.05422273,-0.05796719342470169,0.022898625902598724,0.00025,,
1144,369,5.674599647521973,825,422400,130.5,3296,-0.00799454963998869,0.7815674543380737,0.32666015625,-0.9278509449213743,0.2,0.04782085,0.05487488955259323,0.21624816302210093,0.00025,,
1145,369,5.679699897766113,826,422912,130.84,3300,-0.022751948446966708,0.8856825232505798,0.228515625,-0.8883685190230608,0.2,0.022484854,-0.007840350270271301,0.10123514081351459,0.00025,,
1147,369,5.669198989868164,827,423424,130.34,3304,-0.020688441582024097,0.908310055732727,0.21435546875,-0.8401049543172121,0.2,0.033620246,-0.043750811368227005,0.05730511387810111,0.00025,,
1148,369,5.6685991287231445,828,423936,130.64,3308,-0.019350297894561663,0.979993462562561,0.19287109375,-0.8003532625734806,0.2,0.04103549,-0.06283567100763321,0.013705922989174724,0.00025,,
1149,369,5.64949893951416,829,424448,131.3,3312,-0.020300206204410642,0.9559300541877747,0.28076171875,-0.8707591444253922,0.2,0.041357055,-0.07244773209095001,0.0446012454922311,0.00025,,
1150,369,5.690098762512207,830,424960,128.84,3316,-0.02080495865084231,0.9814928770065308,0.23974609375,-0.7977453414350748,0.2,0.03192954,-0.053808391094207764,0.018698845160542987,0.00025,,
1152,369,5.752298355102539,831,425472,126.9,3320,-0.01241941360058263,0.9504157900810242,0.18310546875,-0.8168872054666281,0.2,0.031241473,-0.04833761602640152,0.019635834731161594,0.00025,,
1153,369,5.7783989906311035,832,425984,124.52,3324,-0.022636047680862248,0.983287513256073,0.2021484375,-0.7707730531692505,0.2,0.029861946,-0.04696040600538254,0.009922295415890403,0.00025,,
1154,369,5.844299793243408,833,426496,121.28,3328,-0.01210075814742595,0.9755236506462097,0.2900390625,-0.8869155868887901,0.2,0.050950974,-0.014168870635330677,0.02418808246147819,0.00025,,
1156,369,5.874599456787109,834,427008,119.38,3332,-0.02113404800184071,0.9762188792228699,0.22021484375,-0.8119456544518471,0.2,0.046172097,-0.06296584010124207,0.014867944089928642,0.00025,,
1157,369,5.881799221038818,835,427520,119.22,3336,-0.0221658909576945,0.9268468022346497,0.234375,-0.8116540312767029,0.2,0.059297226,-0.04036768525838852,0.027111279137898237,0.00025,,
1158,369,5.845999717712402,836,428032,118.14,3340,-0.01665086904540658,0.8071085810661316,0.265625,-0.8437441289424896,0.2,0.06670878,-0.006468243896961212,0.06272466096561402,0.00025,,
1160,369,5.852899074554443,837,428544,118.22,3344,-0.014790025321417488,0.9431676268577576,0.30029296875,-0.8456858061254025,0.2,0.057768255,-0.03887996822595596,0.029572288505733013,0.00025,,
